,MCT_CAT_CD,DONG_CD,GU_CD,Subtract,MO,Deli,DeliSubtract
0,10,540,140,-9.334034752905012,02,0,0.0
1,10,540,140,-51.51785380794084,03,0,0.0
2,10,540,140,-60.08473889218501,04,0,0.0
3,10,540,140,-24.44070076450268,05,0,0.0
4,20,540,140,-28.429538302366687,02,0,0.0
5,20,540,140,-64.64818933789414,03,0,0.0
6,20,540,140,-57.08025098269,04,0,0.0
7,20,540,140,-36.70060774069731,05,0,0.0
8,21,540,140,47.61162981001489,02,1,24.137931034482758
9,21,540,140,-38.04872548397781,03,1,10.050251256281408
10,21,540,140,-23.237930959507743,04,1,22.602739726027394
11,21,540,140,11.265126512651264,05,1,-31.78694158075601
12,22,540,140,2.785428247976615,02,0,0.0
13,22,540,140,-44.453215888316436,03,0,0.0
14,22,540,140,5.642012614081434,04,0,0.0
15,22,540,140,-19.784226386582677,05,0,0.0
16,30,540,140,-58.248847926267274,02,1,9.175824175824175
17,30,540,140,-100.0,03,1,-11.67687595712098
18,30,540,140,-91.61196207148066,04,1,8.661119515885023
19,30,540,140,-93.57967962218393,05,1,14.833080424886191
20,32,540,140,-20.27844662591838,02,1,9.175824175824175
21,32,540,140,-48.5522197815625,03,1,-11.67687595712098
22,32,540,140,-20.31611479931593,04,1,8.661119515885023
23,32,540,140,55.549393915648494,05,1,14.833080424886191
24,33,540,140,-10.401761144744084,02,0,0.0
25,33,540,140,-30.047142347350825,03,0,0.0
26,33,540,140,-56.858482334324215,04,0,0.0
27,33,540,140,-27.74466552624471,05,0,0.0
28,34,540,140,-21.645379008806824,02,0,0.0
29,34,540,140,1.3365511189118033,03,0,0.0
30,34,540,140,64.73885878007525,04,0,0.0
31,34,540,140,-11.370083018385497,05,0,0.0
32,35,540,140,-37.8845567776586,02,1,23.088972431077696
33,35,540,140,-49.10811972939846,03,1,-6.558549964226092
34,35,540,140,-44.77754912814304,04,1,-3.0154449620004904
35,35,540,140,-20.273401081917978,05,1,-1.6792406911657338
36,40,540,140,-8.234993272353428,02,1,14.111547525530243
37,40,540,140,-27.0899812183899,03,1,4.390243902439024
38,40,540,140,-10.148010636288657,04,1,-0.574345883854499
39,40,540,140,16.462938061757242,05,1,0.3746475090640526
40,42,540,140,-50.56630113407458,02,1,4.427942794279428
41,42,540,140,-66.3526650555024,03,1,-16.22815440752833
42,42,540,140,-49.27914350829707,04,1,-22.560137457044675
43,42,540,140,-3.4009382469822538,05,1,-10.445114381982622
44,43,540,140,-37.5571998831662,02,0,0.0
45,43,540,140,-62.19864498345791,03,0,0.0
46,43,540,140,-30.556435682293802,04,0,0.0
47,43,540,140,37.288415171285884,05,0,0.0
48,44,540,140,-28.61408869702996,02,1,-10.76320939334638
49,44,540,140,-55.197096365869584,03,1,-25.439531166755465
50,44,540,140,-37.213889434531836,04,1,-19.9468085106383
51,44,540,140,-22.303712542148645,05,1,-10.351508441738169
52,50,540,140,-12.08183300770212,02,1,24.34540389972145
53,50,540,140,-52.26160927295949,03,1,-12.245728234336859
54,50,540,140,-22.51438187654908,04,1,24.186704384724187
55,50,540,140,-14.420391369086952,05,1,-11.620658949243099
56,52,540,140,65.70394717768822,02,0,0.0
57,52,540,140,58.14700005555511,03,0,0.0
58,52,540,140,-37.54029414912097,04,0,0.0
59,52,540,140,-47.40559685796751,05,0,0.0
60,60,540,140,-86.28219983955789,03,0,0.0
61,60,540,140,312.0716510903427,04,0,0.0
62,60,540,140,-14.96469310157523,05,0,0.0
63,62,540,140,-28.011596028999918,02,0,0.0
64,62,540,140,-19.791409793178868,03,0,0.0
65,62,540,140,-29.63413569111885,04,0,0.0
66,62,540,140,4.332326420993493,05,0,0.0
67,70,540,140,11.896625772599108,02,1,9.407698350353497
68,70,540,140,-17.213317616700458,03,1,2.926829268292683
69,70,540,140,-12.474094166376483,04,1,-0.3828972559029994
70,70,540,140,2.7137494642650455,05,1,0.24976500604270174
71,71,540,140,-13.554108963545714,02,1,23.262254223206867
72,71,540,140,-53.07657807518835,03,1,-0.40816326530612246
73,71,540,140,-33.801036343275065,04,1,-5.821917808219178
74,71,540,140,-9.515984225049708,05,1,6.2974028958860035
75,80,540,140,-19.634843030484465,02,0,0.0
76,80,540,140,-42.8475061289037,03,0,0.0
77,80,540,140,-36.019207751299376,04,0,0.0
78,80,540,140,-23.617397947226674,05,0,0.0
79,81,540,140,-12.55401336918816,02,1,47.43833017077799
80,81,540,140,-33.47618468371526,03,1,24.762759681969737
81,81,540,140,-13.20574353978988,04,1,-1.0756459721735063
82,81,540,140,-14.58546645638724,05,1,12.807706029254371
83,92,540,140,-14.979249448123621,02,0,0.0
84,92,540,140,-23.153990922174252,03,0,0.0
85,92,540,140,-23.392428582488193,04,0,0.0
86,92,540,140,2.138057422113622,05,0,0.0
